'1', '1', 'CIAPORTE SISTEMAS DE GESTAO', 'FLORIANÓPOLIS-SC', '(48) 3025-2888', 'administrativo@ciaporte.com.br', 'http://www.ciaporte.com.br/'
'15', '2', 'MY SMART CLINIC', 'FLORIANÓPOLIS-SC', '(11) 98298-7777', 'alexandrec@mysmartclinic.com.br', 'http://www.mysmartclinic.com.br/'
'15', '3', 'GP2M COMERCIO E SERVIÇO DE TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 9993-4004', 'giuliano@gp2m.com.br', 'http://www.gp2m.com.br/'
'15', '4', 'GTX TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3333-9565', 'contato@gtxtecnologia.com.br', 'http://http//www.gtxtecnologia.com.br/'
'15', '5', 'GLOBULO - MARCAS DE PROPÓSITO', 'FLORIANÓPOLIS-SC', '(48) 3211-8641', 'contato@globulo.com.br', 'http://www.globulo.com.br/'
'15', '6', 'PLANEJE MAIS', 'FLORIANÓPOLIS-SC', '(48) 3209-1609', 'contato@parmais.com.br', 'http://www.parmais.com.br/'
'15', '7', 'WAVESYSTEM SOLUCOES EM TI', 'JOSÉ-SC', '(48) 3015-7988', 'catiane@touchmob.com.br', 'http://www.touchchef.com.br/'
'15', '8', 'IDIT', 'FLORIANÓPOLIS-SC', '48 3307-8427', 'contato@idit@gmail.com', 'http:'
'15', '9', 'INCUCA', 'FLORIANÓPOLIS-SC', '48 33645579', 'comercial@incuca.com.br', 'http://https//incuca.net'
'15', '10', 'CSSTEX CAPACITAÇÃO TECNOLÓGICA', 'ALVES-SC', '47 33770313', 'contato@csstex.com.br', 'http:'
'15', '11', 'ESQUADRA', 'FLORIANÓPOLIS-SC', '33643307', 'contact@sqdr.com.br', 'http://www.sqdr.com.br/'
'15', '12', 'DIV64', 'FLORIANÓPOLIS-SC', '(48) 3371-3881', 'helena@div64.com', 'http://http//www.div64.com'
'16', '1', 'MERCHAN NEW', 'FLORIANÓPOLIS-SC', '96498485', 'denis@merchannew.com.br', 'http://merchannew.com.br/'
'16', '2', 'JURANDIR PAZ DE OLIVEIRA', 'Florianópolis-SC', '(48) 9998-06690', 'jurandirpaz1@gmail.com', 'http:'
'16', '3', 'INERGE', 'FLORIANÓPOLIS-SC', '32065564', 'contato@inerge.org.br', 'http://www.inerge.org.br/'
'16', '4', 'DRESSLER', 'FLORIANÓPOLIS-SC', '(48) 3091-7900', 'pessoal@dressler.com.br', 'http://www.dressler.com.br/'
'16', '5', 'OKTOPLUS', 'FLORIANÓPOLIS-SC', '', 'financeiro@oktoplus.com.br', 'http://www.oktoplus.com.br/'
'16', '6', 'EVO DIGITAL PUBLISHING', 'JOINVILLE-SC', '(11) 43141950', 'contato@evobooks.com.br', 'http://www.evobooks.com.br/'
'16', '7', 'LLP TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(47) 3063-4878', 'contato@studos.com,br', 'http://www.studos.com.br/'
'16', '8', 'CAMPUS CLUB', 'FLORIANÓPOLIS-SC', '(48) 3879-1130', 'contato@mycampusclub.com', 'http://mycampusclub.com/'
'16', '9', 'B2S INOVAÇÃO EM SORRISOS', 'ITAJAÍ-SC', '(47) 3083-3383', 'leandro@b2sinovacao.com.br', 'http://www.kindo.com.br/'
'16', '10', 'K2 STUDIO', 'PALHOÇA-SC', '(48) 4052-9578', 'contato@k2studio.com.br', 'http://http//k2studio.com.br'
'16', '11', 'WEDO TECHNOLOGIES', 'FLORIANÓPOLIS-SC', '21080100', 'mario.neto@wedotechnologies.com', 'http://http//www.wedotechnologies.com/'
'16', '12', 'EMPRESA DE DESENVOLVIMENTO', 'ITAJAÍ-SC', '(47) 9979-59293', 'comercial@turris.net.br', 'http://www.turris.net.br/'
'17', '1', 'BRASYSTEM', 'FLORIANÓPOLIS-SC', '(48) 3223-3632', 'hilton@brasystem.com.br', 'http://www.brasystem.com.br/'
'17', '2', 'BRAVI', 'FLORIANÓPOLIS-SC', '(48) 3239-7600', 'andresa.rosa@bravi.com.br', 'http://www.bravi.com.br/'
'17', '3', 'DATACLOUD BRASIL', 'FLORIANÓPOLIS-SC', '48 4141-2700', 'contato@datacloudbrasil.com.br', 'http://www.datacloudbrasil.com.br/'
'17', '4', 'IMPACT HUB FLORIPA', 'FLORIANÓPOLIS-SC', '(48) 3371-7205', 'floripa@impacthub.com.br', 'http://https//impacthubfloripa.com.br'
'17', '5', '01 WILL', 'BIGUAÇU-SC', '(49) 3567 5456', 'contato@1will.com.br', 'http:'
'17', '6', 'ITER TELECOMUNICACOES', 'JOSÉ-SC', '(48) 3241-9915', 'jairo@iter.sc', 'http://http//iter.net.br/'
'17', '7', 'HEALFIES', 'FLORIANÓPOLIS-SC', '(48) 9955-5648', 'felipe@healfies.com', 'http://healfies.com/'
'17', '8', 'DATA STREAM', 'SUL-SC', '(47) 3633-1345', 'julio@datastream.com.br', 'http://www.datastream.com.br/'
'17', '9', 'AKADEMIS', 'JOSÉ-SC', '(48) 3879-1123', 'david@akademis.com.br', 'http:'
'17', '10', 'GLANZ TI SISTEMAS', 'FLORIANÓPOLIS-SC', '(48) 3091-4800', 'sandin@glanzti.com.br', 'http://www.glanzti.com.br/'
'17', '11', 'KRP DIEM', 'FLORIANÓPOLIS-SC', '(48) 9113-0130', 'financeiro@krpdiem.com.br', 'http://www.similarweb.com.br/'
'17', '12', 'FFWD TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3365-2883', 'fernando@ffwd.com.br', 'http://www.ffwd.com.br/'
'18', '1', 'DNACODE', 'FLORIANÓPOLIS-SC', '(48)996950593', 'contato@dnacode.com.br', 'http://www.dnacode.com.br/'
'18', '2', 'ETH - SOLUÇÕES EM TI', 'Florianópolis-SC', '(48) 4052-8500', 'comercial@ethti.com.br', 'http://https//www.ethti.com.br'
'18', '3', 'KNOWTECH', 'FLORIANÓPOLIS-SC', '(48) 3953-8020', 'samantha.prass@dotgroup.com.br', 'http://http//dotgroup.com.br/'
'18', '4', 'IPTRUST ADVANCE (GRUPO IPTRUST)', 'FLORIANÓPOLIS-SC', '(48) 3333-1551', 'financeiro@iptrust.com.br', 'http://www.iptrust.com.br/'
'18', '5', '', 'FLORIANÓPOLIS-SC', '(48)30286068', 'contas@diaestudio.com', 'http://www.diaestudio.com/'
'18', '6', 'FLEX CONTACT CENTER 01-00', 'FLORIANÓPOLIS-SC', '(48) 3037-9007', 'beneficios.florianopolis@flexcontact.com.br', 'http://www.flexcontact.com.br/'
'18', '7', 'HARTEC', 'FLORIANÓPOLIS-SC', '(48) 3024-6244', 'adm@hartec.com.br', 'http://www.hspot.com.br/'
'18', '8', 'BYOND', 'FLORIANÓPOLIS-SC', '(48 )2025-2629', 'contato@eficid.com', 'http://getbyond.com/'
'18', '9', 'LITMA TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 9885-76666', 'gustavo@litma.com.br', 'http://www.litma.com.br/'
'18', '10', 'PORTER GROUP S.A.', 'FLORIANÓPOLIS-SC', '(48) 3231-0030', 'luana.caetano@portergroup.com.br', 'http://www.kiper.com.br/'
'18', '11', 'HUMANOS NINJA', 'FLORIANÓPOLIS-SC', '(48)88331030', 'jefferson@jeffersonamorim.com.br', 'http://http//humanos.ninja'
'18', '12', 'JETA TI', 'FLORIANÓPOLIS-SC', '(48) 3233-1670', 'contato@jetatec.com.br', 'http:'
'19', '1', 'FASTLANE', 'FLORIANÓPOLIS-SC', '(48) 3331-3444', 'administrativo@fastlane.com.br', 'http://www.flin.com.br/'
'19', '2', 'CREATIVEDRIVE', 'FLORIANÓPOLIS-SC', '(48) 3365-0772', '', 'http://http//cora.creativedrive.com/'
'19', '3', 'GRUPO CEO', 'CAMBORIÚ-SC', '(47) 2033-2488', 'governo@grupoceo.eti.br', 'http://www.grupoceo.eti.br/'
'19', '4', 'B3 (ANTIGA CETIP)', 'JANEIRO-RJ', '11 25653965', 'thiago.fonseca@b3.com.br', 'http:'
'19', '5', 'INFOBR', 'JOSÉ-SC', '(48) 3034-2101', 'claudio@infobr.com.br', 'http://www.infobr.com.br/'
'19', '6', 'JKS SERVIÇOS ELÉTRICOS', 'FLORIANÓPOLIS-SC', '(48) 3207-2468', 'ks@reivax.com.br', 'http:'
'19', '7', 'CELULA 4 -SISTEMAS PARA INTERNET', 'FLORIANÓPOLIS-SC', '(48) 3282-9746', 'adm@celula4.com.br', 'http://http//www.celula4.com.br/'
'19', '8', 'LICENSE SOLUTIONS', 'JOSÉ-SC', '(48) 3047-4009', 'contato@licensesolutions.com.br', 'http://www.licensesolutions.com.br/'
'19', '9', 'OUTNOW', 'FLORIANÓPOLIS-SC', '(48)96018095', 'santoro@outnow.com.br', 'http://outnow.com.br/'
'19', '10', 'ANIMATI NETPACS', 'JOSÉ-SC', '(48) 3380-0028', 'comercial@animati.com.br', 'http://www.animati.com.br/'
'19', '11', 'INFOTICKETICS TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48) 3248-5030', 'contato@info-tickets.com', 'http://www.info-tickets.com/'
'19', '12', 'PERSPECTIVA NEGÓCIOS DIGITAIS', 'CHAPECÓ-SC', '(49) 3316-0928', 'juliano@perspectiva.in', 'http://http//perspectiva.in'
'20', '1', 'NOVARUM SKY', 'FLORIANÓPOLIS-SC', '(48) 3206-7087', 'contact@novarumsky.com', 'http://www.novarumsky.com/'
'20', '2', 'HUNTERCO', 'JOINVILLE-SC', '(47)92928317', 'falecom@hunterco.com.br', 'http://www.hunterco.com.br/'
'20', '3', 'WF5 TECNOLOGIA E COMUNICAÇÃO', 'PALHOÇA-SC', '(48)91020200', 'pfau@wf5.com.br', 'http:'
'20', '4', 'CONAZ', 'FLORIANÓPOLIS-SC', '(48) 3012-2253', 'contato@conazsolucoes.com.br', 'http://www.conazsolucoes.com.br/'
'20', '5', 'GEEKHUNTER', 'FLORIANÓPOLIS-SC', '(11)964460279', 'contato@geekhunter.com.br', 'http://http//geekhunter.com.br/'
'20', '6', 'JETBOV', 'JOINVILLE-SC', '(47) 3512-0023', 'financeiro@jetbov.com', 'http://http//www.jetbov.com'
'20', '7', 'LINX SISTEMAS E CONSULTORIA', 'FLORIANÓPOLIS-SC', '(48) 3232-3200', 'compras@chaordic.com.br', 'http:'
'20', '8', 'ESPECIFIQUE ME (WIKEEP)', 'FLORIANÓPOLIS-SC', '(48) 32067178', 'financeiro@wikeep.com.br', 'http://www.wikeep.com.br/'
'20', '9', 'IDMAX TECHNOLOGY LTDA ME', 'FLORIANÓPOLIS-SC', '(11) 35225778', 'vendas@idmax.com.br', 'http://www.idmax.com.br/'
'20', '10', 'EPHEALTH PRIMARY CARE SOLUTION', 'FLORIANÓPOLIS-SC', '(11)975275907', 'pedro@ephealth.com.br', 'http://www.ephealth.com.br/'
'20', '11', 'FLEX CONTACT CENTER 02-83', 'LAGES-SC', '(48) 3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'20', '12', 'HYDROBYTES', 'JOSÉ-SC', '(48) 3035-4723', 'hydrobytes@gmail.com', 'http://www.hydrobytes.com.br/'
'21', '1', 'FLEX CONTACT CENTER 03-64', 'FLORIANÓPOLIS-SC', '(48) 3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'21', '2', 'FLEX CONTACT CENTER 05-26', 'FLORIANÓPOLIS-SC', '(48 )3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'21', '3', 'FLEX CONTACT CENTER 07-98', 'FLORIANÓPOLIS-SC', '(48) 3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'21', '4', 'FLEX CONTACT CENTER 09-50', 'XANXERÊ-SC', '(48) 3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'21', '5', 'FLEX CONTACT CENTER 08-79', 'LAGES-SC', '(48) 3037-9157', 'alini.andrade@flexcontact.com.br', 'http:'
'21', '6', 'IDEATION BRASIL', 'FLORIANÓPOLIS-SC', '(48) 9834-5094', 'alexandremuller@ideationbrasil.com.br', 'http://http//ideationchallenges.com.br/'
'21', '7', 'SURF EVOLUTION', 'FLORIANÓPOLIS-SC', '(48)96695137', 'contato@surfevolution.com.br', 'http:'
'21', '8', 'PLATHANUS', 'Palhoça-SC', '(48) 9911-51370', 'guilherme.rossoni@plathanus.com.br', 'http://www.plathanus.com.br/'
'21', '9', 'DREAM TRIP', 'FLORIANÓPOLIS-SC', '(31)987010356', 'joao.braga@dudexp.com', 'http://www.pick2trip.com/'
'21', '10', 'GESSER TECNOLOGIA', 'BLUMENAU-SC', '(47)84028242', 'gessertec@gmail.com', 'http:'
'21', '11', 'AVROCO INTERMEDIACAO DE NEGOCIOS', 'FLORIANÓPOLIS-SC', '(48)91197779', 'ronen@avroco.com', 'http:'
'21', '12', 'SCRIPTCODE', 'TIMBÓ-SC', '(47) 3382-0269', 'comercial@scriptcode.com.br', 'http://www.scriptcode.com.br/'
'22', '1', 'GOFIND.ONLINE', 'JOINVILLE-SC', '(47)34613134', 'contato@gofind.online', 'http://www.gofind.online/'
'22', '2', 'CLIPESCOLA', 'FLORIANÓPOLIS-SC', '(48)32071123', 'administrativo@clipescola.com.br', 'http://www.clipescola.com.br/'
'22', '3', 'CONPASS', 'FLORIANÓPOLIS-SC', '(48)99001462', 'contato@conpass.io', 'http://http//www.conpass.io'
'22', '4', 'EATSMART', 'FLORIANÓPOLIS-SC', '(48)32285599', 'contato@intellectio.com.br', 'http://eatsmart.com.br/'
'22', '5', 'CONTA MINIMA', 'JOSÉ-SC', '(48) 3346-7976', 'carlos@contaminima.com.br', 'http://http//www.contaminima.com.br'
'22', '6', 'FLOWS', 'FLORIANÓPOLIS-SC', '(48)99631757', 'flows@flowsjournal.com', 'http://www.flowsjournal.com/'
'22', '7', 'ENCICLO SOLUÇÕES SUSTENTÁVEIS', 'PALHOÇA-SC', '(48)323232312', 'guilherme@enciclo.com.br', 'http://www.enciclo.com.br/'
'22', '8', 'REVIEWR', 'FLORIANÓPOLIS-SC', '(48)96150250', 'santiago.edo@reviewr.me', 'http://www.reviewr.me/'
'22', '9', 'CONNECTMIX', 'FLORIANÓPOLIS-SC', '(48)32097123', 'financeiro@connectmix.com.br', 'http://www.connectmix.com/'
'22', '10', 'HELLOPET', 'BRUSQUE-SC', '(11)986807556', 'rafahill2707@hotmail.com', 'http://www.apphellopet.com.br/'
'22', '11', 'SALES HACKERS', 'FLORIANÓPOLIS-SC', '(48)98369169', 'danilo@saleshackers.com.br', 'http://www.saleshackers.com.br/'
'22', '12', 'EKOLETIVO', 'FLORIANÓPOLIS-SC', '(48)32068956', 'contato@ekoletivo.com.br', 'http://http//ekoletivo.com.br'
'23', '1', 'GISBASE GEOPROCESSAMENTO', 'FLORIANÓPOLIS-SC', '(48) 9882-42596', 'gisbase@gisbase.com.br', 'http://www.gisbase.com.br/'
'23', '2', 'ECENTIVA', 'FLORIANÓPOLIS-SC', '(48)30283030', 'fale@ecentiva.com.br', 'http://www.ecentiva.com.br/'
'23', '3', 'CATAMOEDA - FILIAL', 'FLORIANÓPOLIS-SC', '(48)32384413', 'contato@catamoeda.com.br', 'http://http//catamoeda.com.br/'
'23', '4', 'H7 TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48)91190033', 'daniel@h7tecnologia.com.br', 'http://www.h7tecnologia.com.br/'
'23', '5', 'COLECAO.MODA', 'Florianopolis-SC', '(48) 9916-4515', 'contato@colecao.moda', 'http://www.colecao.moda/'
'23', '6', 'FLIPSTAR', 'FLORIANÓPOLIS-SC', '(48)91550585', 'contact@flipstar.com.br', 'http://www.flipstar.com.br/'
'23', '7', 'TSEGINTERNET', 'JOSÉ-SC', '(48)30293228', 'jorge@tseginternet.com.br', 'http://www.tseginternet.com.br/'
'23', '8', 'GP SERVIÇOS', 'FLORIANÓPOLIS-SC', '(48)33330896', 'santanapalma@gmail.com', 'http:'
'23', '9', 'GABRIEL IVONESIO SANTOS ­ ME', 'FLORIANÓPOLIS-SC', '(48) 9883-70046', 'financeiro@gg8.com.br', 'http:'
'23', '10', 'SCOND SISTEMAS DE GESTAO', 'JOSÉ-SC', '(48)30471365', 'contato@scond.com.br', 'http://www.scond.com.br/'
'23', '11', 'HAFTEC TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48)33347178', 'helber.guerra@gmail.com', 'http://www.haftec.com/'
'23', '12', 'I4R - INTELLIGENCE FOR RESULTS', 'FLORIANÓPOLIS-SC', '(48) 9884-38101', 'contato@i4r.com.br', 'http://www.i4r.com.br/'
'24', '1', 'EFFECTI TECNOLOGIA WEB', 'SUL-SC', '(47)34117131', 'comercial@effecti.com.br', 'http://www.effecti.com.br/'
'24', '2', 'MYFID', 'FLORIANÓPOLIS-SC', '(48)96417777', '', 'http://www.myfid.com.br/'
'24', '3', 'NERDBIRD', 'JOSÉ-SC', '(48)84213450', 'contato@nerdbird.com.br', 'http://http//www.nerdbird.com.br'
'24', '4', 'JF SERVIÇOS DE AUTOMAÇÃO', 'CAMBORIÚ-SC', '(48)32483782', 'fernandessc@gmail.com', 'http://http//www.jfservicos.com'
'24', '5', 'FLEXPRO SISTEMAS', 'OESTE-SC', '(49)36228784', 'comercial@flexpro.com.br', 'http://www.flexpro.com.br/'
'24', '6', 'DOMLEXIA', 'FLORIANÓPOLIS-SC', '(48)32342494', 'nadine@domlexia.com.br', 'http://www.domlexia.com.br/'
'24', '7', 'IMAGINESOFT', 'FLORIANÓPOLIS-SC', '(48)88154898', 'thiago@imaginesoft.com.br', 'http://www.imaginesoft.com.br/'
'24', '8', 'POLLUX AUTOMATION', 'JOINVILLE-SC', '(47)30259000', 'ilma.cristina@pollux.com.br', 'http://www.pollux.com.br/'
'24', '9', 'SUPORTE FACIL', 'BLUMENAU-SC', '(47)41020676', 'jackson@easyittraining.com.br', 'http://www.easyittraining.com.br/'
'24', '10', 'JURERE TELECOM', 'FLORIANÓPOLIS-SC', '(48)96199612', 'contato@contaboa.com.br', 'http://contaboa.com.br/'
'24', '11', 'HGSOFT', 'BATISTA-SC', '(48)32651723', 'contato@hgsoft.com.br', 'http://www.hgsoft.com.br/'
'24', '12', 'CREATIVE SOLUTIONS', 'FLORIANÓPOLIS-SC', '(48)84064353', 'info@creative-solutions.eng.br', 'http://creative-solutions.eng.br/'
'25', '1', 'CITRUM', 'FLORIANÓPOLIS-SC', '(48)33076280', 'contato@citrum.com.br', 'http://http//www.citrum.com.br/'
'25', '2', 'LIGLU BRASIL', 'PALHOÇA-SC', '(48)91818590', 'contato@liglu.com.br', 'http://www.liglu.com.br/'
'25', '3', 'CONNECTA MEDIA - LTDA', 'FLORIANÓPOLIS-SC', '(48)33337720', 'keller@connectamedia.com.br', 'http://www.connectamedia.com.br/'
'25', '4', 'GVEI TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48)999228488', 'horacio@ivei.com.br', 'http:'
'25', '5', 'LINCE TECNOLOGIA', 'FLORIANÓPOLIS-SC', '(48)40092000', 'anthoni@lincetecnologia.com.br', 'http://http//www.lincetecnologia.com.br/'
'25', '6', 'EXPERTISE SOLUTIONS', 'FLORIANÓPOLIS-SC', '(48)30659930', 'elizio@expertisesolutions.com.br', 'http://www.expertise.dev/'
'25', '7', 'CCSNET - CONEXÃO, COMUNICAÇÃO E SEGURANÇA', 'PALHOÇA-SC', '(48) 3342-0385', 'gonzaga@ccsnet.com.br', 'http://http//www.ccsnet.com.br'
'25', '8', 'PLUBR NETWORKS S.A.', 'IÇARA-SC', '(48)30553328', 'diana@plubr.com.br', 'http:'
'25', '9', 'DISRUPTIVA RETAIL INTELLIGENCE', 'FLORIANÓPOLIS-SC', '(48) 3065-5367', 'contato@disruptiva.com.br', 'http://https//www.disruptiva.com.br/'
'25', '10', 'FONTEC', 'FLORIANÓPOLIS-SC', '(48)33049345', 'fontec@fontec.inf.br', 'http://www.fontec.inf.br/'
'25', '11', 'NEWHOTEL CHECK-IN SISTEMAS PARA HOTELARIA', 'FLORIANÓPOLIS-SC', '(48)30317611', 'rh@newhotel.com.br', 'http://http//newhotel.com.br/'
'25', '12', 'FREIBERGER', 'FLORIANÓPOLIS-SC', '(48)996687330', 'freiberger1@live.com', 'http://www.inovarsc.com.br/'
'26', '1', 'ESAPIENS TECNOLOGIA S.A. (FILIAL)', 'BAURU-SP', '(14)32433733', 'rh@esapiens.com.br', 'http://esapiens.com.br/'
'26', '2', 'IBASI TECNOLOGIA E SISTEMAS', 'ARARANGUÁ-SC', '(48)35270544', 'sistemas@ibasi.com.br', 'http://ibasi.com.br/'
'26', '3', 'CIASC', 'FLORIANÓPOLIS-SC', '(48)36641270', 'gabinete@ciasc.sc.gov.br', 'http://www.ciasc.sc.gov.br/'
'26', '4', 'TRILIA', 'FLORIANÓPOLIS-SC', '(48)40528021', 'ricardo@trilia.com.br', 'http://www.trilia.com.br/'
'26', '5', 'NEOMIND', 'JOINVILLE-SC', '(47)21010966', 'faturas@neomind.com.br', 'http://www.neomind.com.br/'
'26', '6', 'EMBRACON TECNOLOGIA', 'JOSÉ-SC', '(48)30354000', 'monitoramento@grupoembracon.com.br', 'http://www.grupoembracon.com.br/'
'26', '7', 'SUMONE', 'FLORIANÓPOLIS-SC', '(48)32062602', 'luisfelipe.rodrigues@sumone.com.br', 'http://sumone.com.br/'
'26', '8', 'HIPER', 'BRUSQUE-SC', '(47)33082250', 'william@hiper.com.br', 'http://https//gohiper.com.br'
'26', '9', 'ASSISTECNET', 'OESTE-SC', '(49)36211759', 'vendas@assistecnet.com.br', 'http://www.assistecnet.com.br/'
'26', '10', 'INTEXFY INTELIGENCIA DE VENDAS', 'FLORIANÓPOLIS-SC', '(48)991478889', 'mattos@intexfy.com', 'http://www.intexfy.com/'
'26', '11', 'JMVSISTEMAS', 'ARARANGUÁ-SC', '(48)35240146', 'sgap@jmvsistemas.com.br', 'http://www.jmvsistemas.com.br/'
'26', '12', 'ASAAS', 'JOINVILLE-SC', '(47)38010919', 'contato@asaas.com', 'http://https//www.asaas.com'
'27', '1', 'GETMORE', 'FLORIANÓPOLIS-SC', '(48)999998358', 'contato@getmore.com.br', 'http://www.getmore.com.br/'
'27', '2', 'ELETROMECH', 'CRICIÚMA-SC', '(48)991844572', 'felixeletromech@gmail.com', 'http://www.eletromech.com/'
'27', '3', 'ECHOSIS', 'LAGES-SC', '(49) 3222-2335', 'contato@echosis.com.br', 'http://www.echosis.com.br/'
'27', '4', 'IPM SISTEMAS LTDA', 'SUL-SC', '(47)35311500', 'mara.mafra@ipm.com.br', 'http://www.ipm.com.br/'
'27', '5', 'CANOPYRSS', 'BIGUAÇU-SC', '(48)991801101', 'info@canopyrss.tech', 'http://www.canopyrss.tech/'
'27', '6', 'SISTEMA MAIS LEITE', 'CHAPECÓ-SC', '(49)988150363', 'taubita@sempremaissistemas.com.br', 'http://www.sistemamaisleite.com.br/'
'27', '7', 'CELK SISTEMAS', 'Florianópolis-SC', '(48)34371056', 'rodrigo.santana@celk.com.br', 'http://www.celk.com.br/'
'27', '8', 'OPTIDATA CLOUD SOLUTIONS', 'CHAPECÓ-SC', '(49)20201111', 'adm@optidatacloud.com', 'http://www.optidatacloud.com/'
'27', '9', 'UNITY CONSULTORIA', 'IBIRAMA-SC', '(47)33570374', 'unity.consultoria@outlook.com', 'http:'
'27', '10', 'KFB SERVIÇOS LTDA. - ME', 'FLORIANÓPOLIS-SC', '(48) 3028-5445', 'contato@usen1.com.br', 'http://www.usen1.com.br/'
'27', '11', 'BUSCAONIBUS', 'FLORIANÓPOLIS-SC', '(48)30659465', 'admin@buscaonibus.com.br', 'http://www.buscaonibus.com.br/'
'27', '12', 'REITZ INNOVATION', 'FLORIANÓPOLIS-SC', '(48)988310749', 'felipe@reitzinnovation.com', 'http://www.reitzinnovation.com/'
'28', '1', 'PORTOMONTT', 'BLUMENAU-SC', '(47)32340775', 'rh@qualitypress.com.br', 'http://www.qualitypress.com.br/'
'28', '2', 'GRAFENO', 'FLORIANÓPOLIS-SC', '(48)996249078', 'kotuja@gmail.com', 'http:'
'28', '3', 'HORUS AERONAVES', 'FLORIANÓPOLIS-SC', '(48) 9917-77445', 'financeiro@horus.global', 'http://www.horusaeronaves.com/'
'28', '4', 'EMD BRASIL ENGENHARIA E CONSULTORIA LTDA', 'FLORIANÓPOLIS-SC', '(48)32329100', 'contato@emdbrasil.com', 'http://http//www.emd.dk/contact-us/subsidiary/'
'28', '5', 'SIMPS', 'FLORIANÓPOLIS-SC', '(48)30654545', 'simps@simps.com.br', 'http://www.simps.com.br/'
'28', '6', 'GLOBALBOT', 'FLORIANÓPOLIS-SC', '(48)32073603', 'contato@globalbot.com.br', 'http://www.globalbot.com.br/'
'28', '7', 'GVSUL', 'FLORIANÓPOLIS-SC', '(48)33040411', 'galdinoivo@gmail.com', 'http://gvsul.com.br/'
'28', '8', 'CASA DE TIJOLOS', 'FLORIANÓPOLIS-SC', '(48) 9912-11612', 'mtf@brickabode.com', 'http://www.brickabode.com/'
'28', '9', 'B&amp;C CONSULTORIA', 'Florianópolis-SC', '(48)996340192', 'becconsultorialtda@gmail.com', 'http:'
'28', '10', 'DESBRAVADOR SOFTWARE DE GESTÃO HOTELEIRA', 'FLORIANÓPOLIS-SC', '(49)33210900', 'rh@desbravador.com.br', 'http://www.desbravador.com.br/'
'28', '11', 'EQUIPEDIGITAL.COM', 'FLORIANÓPOLIS-SC', '(48)32330606', 'comercial@equipedigital.com', 'http://www.equipedigital.com/'
'28', '12', 'ANDOHA', 'FLORIANÓPOLIS-SC', '(48)910956709', 'marcelo@andoha.com.br', 'http://www.andoha.com.br/'
'29', '1', 'INFOTECNICA', 'FLORIANÓPOLIS-SC', '(48)30277500', 'itamar@infotecnica.com.br', 'http://itamar/'
'29', '2', 'DOMO DESENVOLVIMENTO', 'PALHOÇA-SC', '(48)999728101', 'aline.avila@nexxus.net.br', 'http:'
'29', '3', 'HEYCHEFF', 'FLORIANÓPOLIS-SC', '(48)41411602', 'contato@heycheff.com', 'http://www.heycheff.com/'
'29', '4', 'SISTEMAPET', 'FLORIANÓPOLIS-SC', '(48)30242083', 'contato@sistemapet.com', 'http://www.sistemapet.com/'
'29', '5', 'LIDERANÇA SERVIÇOS', 'JOSÉ-SC', '(48) 3733-3261', 'beneficios@lideranca.com.br', 'http://www.lideranca.com.br/'
'29', '6', 'FRACTAL ENGENHARIA E SISTEMAS S.A', 'FLORIANÓPOLIS-SC', '(48)33416455', 'contato@fractaleng.com.br', 'http://http//www.fractaleng.com.br/'
'29', '7', 'COBLUE', 'ITAPEMA-SC', '(47)991334687', 'george@coblue.com.br', 'http://www.coblue.com.br/'
'29', '8', 'COMPUFOUR', 'CONCÓRDIA-SC', '(49)34420122', 'wagner@compufour.com.br', 'http://www.compufour.com.br/'
'29', '9', 'COMPUFACIL', 'FLORIANOPOLIS-SC', '(49)34420122', 'wagner@compufacil.com.br', 'http://www.compufacil.com.br/'
'29', '10', 'LOGOS - INTELIGÊNCIA E PLANEJAMENTO ESTRATÉGICO', 'FLORIANÓPOLIS-SC', '(48)996991011', 'contato@logosconsult.com.br', 'http://www.logosconsult.com.br/'
'29', '11', 'LITELIMS SOFTWARE LTDA.', 'JOINVILLE-SC', '(47)34370915', 'gustavo@litelims.com', 'http://www.litelims.com/'
'29', '12', 'GENERAL SYSTEM', 'FLORIANÓPOLIS-SC', '(48)996892868', 'cezarfw@gmail.com', 'http://www.generalsystem.com.br/'
'30', '1', 'IPC', 'ITAJAÍ-SC', '(48)30272900', 'comercial@efrete.com', 'http://www.efrete.com/'
'30', '2', 'CLICK DOUTOR', 'JOINVILLE-SC', '(47)30257888', 'financeiro@clickdoutor.com', 'http://www.clickdoutor.com/'
'30', '3', 'LIVTI SOLUÇÕES EM TI', 'FLORIANÓPOLIS-SC', '(48) 3372-5091', 'financeiro@livti.com.br', 'http://www.livti.com.br/'
